model,score,rating_q025,rating_q975,CI,avg_tokens,date
gpt-4-turbo-2024-04-09,82.63,80.46,84.54,"(-2.17, +1.91)",662.0,2024-07-23
claude-3-5-sonnet-20240620,79.35,77.65,81.31,"(-1.70, +1.96)",567.0,2024-07-23
gpt-4o-2024-05-13,79.21,77.5,80.94,"(-1.71, +1.73)",696.0,2024-07-23
gpt-4-0125-preview,77.96,76.15,79.86,"(-1.81, +1.90)",619.0,2024-07-23
gpt-4o-mini,74.94,72.49,76.87,"(-2.45, +1.93)",668.0,2024-07-23
gemini-1.5-pro-api-0514,71.96,69.37,74.05,"(-2.59, +2.09)",676.0,2024-07-23
yi-large-preview,71.48,69.81,73.76,"(-1.67, +2.28)",720.0,2024-07-23
glm-4-0520,63.84,61.7,66.36,"(-2.14, +2.52)",636.0,2024-07-23
yi-large,63.7,60.71,66.49,"(-2.99, +2.79)",626.0,2024-07-23
deepseek-coder-v2,62.3,60.14,65.15,"(-2.16, +2.85)",578.0,2024-07-23
claude-3-opus-20240229,60.36,58.3,62.9,"(-2.06, +2.54)",541.0,2024-07-23
gemma-2-27b-it,57.51,54.59,60.31,"(-2.92, +2.80)",577.0,2024-07-23
glm-4-0116,55.72,53.17,58.28,"(-2.55, +2.56)",622.0,2024-07-23
gemini-1.5-pro-api-0409-preview,53.37,51.09,56.1,"(-2.28, +2.73)",478.0,2024-07-23
glm-4-air,50.88,48.01,52.93,"(-2.87, +2.05)",619.0,2024-07-23
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2024-07-23
gemini-1.5-flash-api-0514,49.61,47.09,52.32,"(-2.52, +2.71)",642.0,2024-07-23
qwen2-72b-instruct,46.86,44.32,49.06,"(-2.54, +2.20)",515.0,2024-07-23
claude-3-sonnet-20240229,46.8,44.74,50.07,"(-2.06, +3.27)",552.0,2024-07-23
llama-3-70b-instruct,46.57,44.22,49.37,"(-2.35, +2.80)",591.0,2024-07-23
claude-3-haiku-20240307,41.47,39.0,43.9,"(-2.47, +2.43)",505.0,2024-07-23
gpt-4-0613,37.9,35.43,40.29,"(-2.47, +2.39)",354.0,2024-07-23
mistral-large-2402,37.71,35.44,40.14,"(-2.27, +2.43)",400.0,2024-07-23
mixtral-8x22b-instruct-v0.1,36.36,34.3,39.19,"(-2.06, +2.83)",430.0,2024-07-23
qwen1.5-72b-chat,36.12,34.05,38.36,"(-2.07, +2.24)",474.0,2024-07-23
phi-3-medium-4k-instruct,33.37,31.26,36.01,"(-2.11, +2.64)",517.0,2024-07-23
command-r-plus,33.07,31.14,35.18,"(-1.93, +2.11)",541.0,2024-07-23
mistral-medium,31.9,30.12,34.17,"(-1.78, +2.27)",485.0,2024-07-23
phi-3-small-8k-instruct,29.77,27.47,32.1,"(-2.30, +2.33)",568.0,2024-07-23
mistral-next,27.37,25.43,29.68,"(-1.94, +2.31)",297.0,2024-07-23
gpt-3.5-turbo-0613,24.82,22.97,27.04,"(-1.85, +2.22)",401.0,2024-07-23
dbrx-instruct-preview,24.63,22.97,26.62,"(-1.66, +1.99)",415.0,2024-07-23
claude-2.0,23.99,22.14,25.81,"(-1.85, +1.82)",295.0,2024-07-23
mixtral-8x7b-instruct-v0.1,23.4,21.51,25.41,"(-1.89, +2.01)",457.0,2024-07-23
gpt-3.5-turbo-0125,23.34,21.33,24.82,"(-2.01, +1.48)",329.0,2024-07-23
yi-34b-chat,23.15,21.28,25.14,"(-1.87, +1.99)",611.0,2024-07-23
starling-lm-7b-beta,23.01,20.68,24.97,"(-2.33, +1.96)",530.0,2024-07-23
claude-2.1,22.77,20.85,24.36,"(-1.92, +1.59)",290.0,2024-07-23
snorkel-mistral-pairrm-dpo,20.73,18.76,22.8,"(-1.97, +2.07)",564.0,2024-07-23
llama-3-8b-instruct,20.56,18.68,22.25,"(-1.88, +1.69)",585.0,2024-07-23
gpt-3.5-turbo-1106,18.87,17.12,20.47,"(-1.75, +1.60)",285.0,2024-07-23
gpt-3.5-turbo-0314,18.05,16.2,19.5,"(-1.85, +1.45)",334.0,2024-07-23
gemini-pro,17.8,16.06,19.83,"(-1.74, +2.03)",322.0,2024-07-23
snowflake-arctic-instruct,17.61,16.17,19.25,"(-1.44, +1.64)",365.0,2024-07-23
command-r,17.02,15.63,18.81,"(-1.39, +1.79)",432.0,2024-07-23
phi-3-mini-128k-instruct,15.43,13.97,17.04,"(-1.46, +1.61)",609.0,2024-07-23
tulu-2-dpo-70b,14.99,13.38,16.95,"(-1.61, +1.96)",550.0,2024-07-23
starling-lm-7b-alpha,12.8,11.48,14.34,"(-1.32, +1.54)",483.0,2024-07-23
mistral-7b-instruct,12.57,11.05,13.62,"(-1.52, +1.05)",541.0,2024-07-23
gemma-1.1-7b-it,12.09,10.87,13.39,"(-1.22, +1.30)",341.0,2024-07-23
llama-2-70b-chat,11.55,10.26,12.72,"(-1.29, +1.17)",595.0,2024-07-23
vicuna-33b,8.63,7.55,9.76,"(-1.08, +1.13)",451.0,2024-07-23
gemma-7b-it,7.47,6.28,8.63,"(-1.19, +1.16)",378.0,2024-07-23
gemma-1.1-2b-it,3.37,2.78,4.21,"(-0.59, +0.84)",316.0,2024-07-23
gemma-2b-it,3.0,2.39,3.79,"(-0.61, +0.79)",369.0,2024-07-23
